Id;Width;Height;Depth;Weight;StorageLife;IsStorageLife
1;30;40;20;1,50 ;15.04.2024;true
2;25;35;15;1,00 ;15.07.2024;false
3;50;60;30;5,00 ;15.04.2025;true
4;40;45;25;3,20 ;15.10.2024;true
5;20;25;10;0,50 ;15.04.2026;true
6;45;50;20;4,10 ;15.04.2024;false
7;35;50;15;2,80 ;15.04.2025;true
8;60;70;40;6,50 ;01.06.2024;false
9;55;55;50;10,40 ;01.01.2025;true
10;10;15;5;0,30 ;01.01.2026;true
11;30;40;30;2,20 ;01.01.2026;true
12;40;30;25;2,50 ;01.07.2024;false
13;25;50;15;1,80 ;01.04.2024;false
14;37;60;25;7,60 ;01.12.2025;true
15;55;10;5;0,40 ;01.06.2024;false
16;15;20;20;1,20 ;01.09.2024;false
17;20;50;30;8,20 ;01.03.2025;true
18;70;80;50;10,00 ;01.01.2026;true
19;60;10;10;0,20 ;01.06.2024;false
20;10;30;20;3,00 ;01.02.2025;true
21;45;25;40;4,00 ;01.08.2024;false
22;50;35;15;1,00 ;01.05.2025;true
23;15;45;15;3,30 ;15.09.2024;false
24;45;40;30;4,20 ;15.10.2024;false
25;40;30;20;1,60 ;15.07.2026;true
26;23;90;60;15,00 ;01.01.2025;true
27;60;40;25;6,20 ;15.11.2025;true
28;70;65;40;8,70 ;01.03.2025;true
29;55;35;50;5,10 ;01.07.2024;false
30;40;25;25;1,40 ;15.11.2024;false
31;25;60;30;4,80 ;01.01.2026;true
32;30;50;40;5,50 ;01.08.2024;false
33;35;60;25;6,00 ;01.07.2025;true
34;45;40;30;2,00 ;15.11.2024;false
35;23;20;10;2,20 ;01.05.2026;true
36;50;50;20;6,80 ;01.04.2024;false
37;60;40;35;7,30 ;01.09.2024;false
38;55;80;50;11,50 ;01.05.2025;true
39;70;25;15;2,40 ;15.08.2024;false
40;45;30;40;5,90 ;01.11.2024;false
